year,date_yyyy.mm.dd,survey,team,species,sex,activity_type,km_marker,beach_zone,gpse,gpsn,gps_accuracy_m,nest_id,egg_chamber_triangulated,direction_nesting,north_m,centre_m,south_m,htl_m,triangulated_by,activity_comments,record_type,encounter_activity,encounter_time_hh.mm.ss,turtle_id,right_tag,left_tag,removed_right_tag,removed_left_tag,right_oth_y_n,right_otn_y_n,left_oth_y_n,left_otn_y_n,right_tagger,left_tagger,tagging_comments,ccl_min1_cm,ccl_min2_cm,ccl_min3_cm,ccl_min_avg_cm,ccl_min_measured_by,ccw_max1_cm,ccw_max2_cm,ccw_max3_cm,ccw_max_avg_cm,ccw_max_measured_by,x1,x2,x3,x4,x5,x6,x7,x8,caudal_projection_complete,fibropapillomas,body_check_comments,number_yolked_eggs,number_yolkless_eggs,number_total_eggs,eggs_counted_by,egg_depth_cm,nest_depth_cm,relocated_km_marker,relocated_beach_zone,relocated_north_m,relocated_centre_m,relocated_south_m,relocated_htl_m,relocated_chamber_depth_cm,relocated_chamber_width_cm,relocated_gpse,relocated_gpsn,relocated_comments,data_comments,julian_time
2006,2006-05-17,PM1,,DC,F,NST,2,B,223679,1172359,,CP06002,FALSE,S,,,,,,NA,REX,Emerging from sea,21:13:00,06-0022,VA8233,VA1054,,,1,0,1,0,LC,,,153.9,154.1,153.9,153.97,,117.5,117.7,117.4,117.53,,,,,,,,,,TRUE,,"one barnacle on carapace. 2 - 2 bite marks. 4 6 - 1 bite mark. roots in nest",87,20,107,,,,,,,,,,,,,,,,13285
2006,2006-05-17,PM1,,CM,F,NST,5,B,223410,1173041,,NTRI06038,FALSE,,,,,,,NA,,,23:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13285
2006,2006-05-17,PM1,,CM,F,HLF,12,O,222915,1174259,,,FALSE,,,,,,,NA,,,01:44:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13285
2006,2006-05-17,PM1,,DC,F,NST,13,O,222832,1174444,,NTRI06039,FALSE,,,,,,,NA,REX,Disguising nest,23:55:00,06-0023,VA4052,VA4053,,,0,0,0,0,,,,137.6,136.8,137.2,137.2,,103.4,103,103.6,103.33,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,13285
2006,2006-05-17,PM1,,DC,F,NST,9,O,223109,1173763,,NTRI06040,FALSE,,,,,,,NA,REX,Disguising nest,02:00:00,06-0021,VA8880,VA8879,,,,,,,,,,144.6,145.3,146.2,145.37,,100,101,100,100.33,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,13285
2006,2006-05-17,PM1,,CM,F,HLF,3,V,223610,1172544,,,FALSE,,,,,,,NA,,,02:40:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13285
2006,2006-05-18,PM1,,EI,F,HLF,24,,221991,1176532,,,FALSE,,,,,,,NA,,,22:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13286
2006,2006-05-19,PM1,,DC,F,NST,7,O,223291,1173325,,NTRI06041,FALSE,,,,,,,NA,,,22:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13287
2006,2006-05-24,PM1,,DC,F,NST,14,O,222733,1174697,,NTRI06042,FALSE,,,,,,,NA,REN,Disguising nest,21:55:00,06-0013,VA8222,VA8223,,,0,0,,,,,,155,154,154,154.33,,110,110,109.5,109.83,,,,,,,,,,TRUE,,"2 - bite marks (one small and one big). 6 - big bite mark and 2 cuts. 3 yolkless eggs outside nest",,,,,,,,,,,,,,,,,,,13292
2006,2006-05-24,PM1,,DC,F,HLF,3,,223629,1172559,,,FALSE,,,,,,,NA,,,21:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13292
2006,2006-05-24,AM,,DC,F,NST,24,O,221941,1176662,,NTRI06043,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13292
2006,2006-05-26,PM1,,CC,F,NST,23,O,222077,1176280,,CP06003,FALSE,NW,,,,,,NA,REX,Oviposition,22:12:00,06-0024,CP0006,CP0008,,89077,0,1,2,0,AB,AB,,100.4,100.5,100.3,100.4,,89.3,89.4,89.4,89.37,,,,,,,,,,,,"6 - 2 small cuts. 8 - hole between the 1st two scutes. many balanos.",,,,,,,,,,,,,,,,,,,13294
2006,2006-05-27,AM,,DC,F,NST,5,O,223452,1172960,,NTRI06044,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13295
2006,2006-05-28,AM,,EI,F,NST,2,B,223712,1172313,,NTRI06045,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13296
2006,2006-05-29,AM,,DC,F,NST,2,O,,,,NTRI06046,FALSE,,,,,,,30m after 1/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13297
2006,2006-05-29,PM1,,DC,F,HLF,4,,223509,1172834,,,FALSE,,,,,,,NA,,,23:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13297
2006,2006-05-29,PM1,,DC,F,HLF,16,,222611,1174996,,,FALSE,,,,,,,NA,,,00:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13297
2006,2006-05-30,PM1,,DC,F,NST,3,O,223643,1172485,,CP06005,FALSE,N,,,,,,NA,REX,Selecting nest site,21:15:00,06-0025,79674,79675,,,0,0,0,0,,,,144.6,144.5,144.8,144.63,,117.7,117.5,117.8,117.67,,,,,,,,,,TRUE,,2 4 - small cuts,74,26,100,,,,,,,,,,,,,,,,13298
2006,2006-05-31,AM,,CM,F,NST,21,O,,,,NTRI06047,FALSE,,,,,,,50m before 2 5/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13299
2006,2006-06-01,PM1,,EI,F,NST,20,V,222277,1175768,,CP06006,FALSE,W,,,,,,NA,REC,Digging egg chamber,23:00:00,06-0026,CP0010,CP0011,,,0,0,0,0,FO,FO,,91.7,91.8,91.7,91.73,,78.8,79,78.8,78.87,,,,,,,,,,,,balanos algas parte de 5 descamada.,172,,,,,,,,,,,,,,,,,,13300
2006,2006-06-03,PM1,,DC,F,NST,10,O,223029,1173985,,CP06007,FALSE,SE,,,,,,NA,REX,Digging egg chamber,01:00:00,06-0027,VA9264,VA9287,,,0,1,0,0,,,,163,163,163.1,163.03,,121,120.5,120.8,120.77,,,,,,,,,,TRUE,,"2 - 4 cuts. 4 - 3 cuts. 6 - a large cut. 8 - small cuts",89,14,103,,,,,,,,,,,,,,,,13302
2006,2006-06-04,PM1,,DC,F,HLF,4,,223581,1172658,,,FALSE,,,,,,,NA,,,00:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13303
2006,2006-06-04,AM,,DC,F,NST,18,B,222456,1175360,,NTRI06048,FALSE,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13303
2006,2006-06-05,PM1,,DC,F,HLF,17,,222540,1175181,,,FALSE,,,,,,,half moon because of debris on beach.,,,23:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13304
2006,2006-06-05,PM2,,DC,F,NST,21,O,222209,1176017,,NTRI06049,FALSE,,,,,,,NA,REX,Returning to sea,01:55:00,06-0029,79998,79995,,,0,0,0,0,,,,152,152.1,152,152.03,,107,106.9,106.9,106.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13304
